1096158374,03/03/2011,"Pharmacie et univers thérapeutique en Basse-Normandie et dans la vallée du Saint-Laurent au XVIIIe siècle : praticiens, organisations, pratiques : une étude comparative",9782729568719; 2729568719,D16a
,,,,
1096156382,05/05/2010,"Aux origines de la chimie organique : méthodes et pratiques des pharmaciens et des chimistes, 1785-1835",9782753510180; 2753510180,D16a
,,,,
1096160689,25/08/2011,Fabuleux hasards : histoire de la découverte de médicaments,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1096898398,09/04/2015,Fabuleux hasards : histoire de la découverte de médicaments,9782759803781; 2759803783,D16a
,,,,
1096160638,18/08/2011,"Apothicaires et charlatans : volume contenant un exposé des diverses maladies qui surviennent au genre humain, les moyens les plus sûrs pour s'en préserver, les remèdes infaillibles pour les guérir, le tout issu des pratiques saugrenues des charlatans et des ouvrages admirables des médecins du temps",9782812302954; 281230295X,D16a
,,,,
1096622577,04/07/2012,Histoires et légendes du médicament,9782864110378; 2864110377,D16a
,,,,
1097425281,03/02/2016,La pharmacopée végétale d'Occident dans l'oeuvre de Pline l'Ancien,9782870312933; 2870312938,D16a
,,,,
1096622620,25/04/2012,"Médicaments, de la conception à la prescription",9782895781660; 2895781664,D16a
,,,,
1096898237,17/02/2015,Cannabis : 40 ans de malentendus,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
96160648,25/08/2011,Des médicaments pour les pauvres : ouvrages charitables et santé publique aux XVIIe et XVIIIe siècles,9782914399296; 2914399294,D16a
,,,,
1096160649,25/08/2011,Histoire des médicaments : des origines à nos jours,9782915741421; 2915741425,D16a
,,,,
1096111103,14/02/2007,"Husten, Schmerz und Kommunismus : das Basler Pharma-Unternehmen F. Hoffmann-La Roche in Osteuropa 1896-1957",9783034007917; 3034007914,D16a
,,,,
1096160375,12/01/2011,Pharmaforschung im 20. Jahrhundert : Arbeit an der Grenze zwischen Hochschule und Industrie,9783034010702; 3034010702,D16a
,,,,
1096131903,06/01/2009,Wissen im Netz : Botanik und Pflanzentransfer in europäischen Korrespondenznetzen des 18. Jahrhunderts,9783050041445; 3050041447,D16a
,,,,
1096620670,21/12/2011,"Missionspharmazie : Konzepte, Praxis, Organisation und wissenschaftliche Ausstrahlung",9783515099103; 3515099107,D16a
,,,,
1096156380,06/05/2010,Pharmazie in Geschichte und Gegenwart : Festgabe für Wolf-Dieter Müller-Jahncke zum 65. Geburtstag,,
